Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
889,TheFrontPage2016,Broadhurst ,The Front Page,Revival,Play,Comedy,,"Oct 20, 2016","Jan 29, 2017",117,27,1186
890,TheFullMonty2000,Eugene O'Neill ,The Full Monty,Original,Musical,Comedy,,"Oct 26, 2000","Sep 01, 2002",770,26,1066
891,TheGathering2001,Cort ,The Gathering,Original,Play,,,"Apr 24, 2001","May 13, 2001",24,9,1084
892,TheGershwins'FascinatingRhythm1999,Longacre ,The Gershwins' Fascinating Rhythm,Original,Musical,Revue,,"Apr 25, 1999","May 09, 1999",17,12,1091
893,TheGershwins'PorgyandBess2012,Richard Rodgers ,The Gershwins' Porgy and Bess,Revival,Musical,Opera,,"Jan 12, 2012","Sep 23, 2012",293,27,1400
894,TheGinGame1997,Lyceum ,The Gin Game,Revival,Play,,,"Apr 20, 1997","Aug 31, 1997",145,4,922
895,TheGinGame2015,John Golden ,The Gin Game,Revival,Play,,,"Oct 14, 2015","Jan 10, 2016",92,4,805
896,TheGlassMenagerie1983,Eugene O'Neill ,The Glass Menagerie,Revival,Play,Drama,,"Dec 01, 1983","Feb 19, 1984",92,8,1066
897,TheGlassMenagerie1994,Criterion Center Stage Right,The Glass Menagerie,Revival,Play,Drama,,"Nov 15, 1994","Jan 01, 1995",57,8,499
898,TheGlassMenagerie2005,Ethel Barrymore ,The Glass Menagerie,Revival,Play,Drama,,"Mar 22, 2005","Jul 03, 2005",120,7,1096
899,TheGlassMenagerie2013,Booth ,The Glass Menagerie,Revival,Play,Drama,,"Sep 26, 2013","Feb 23, 2014",173,7,766
900,TheGlassMenagerie2017,Belasco ,The Glass Menagerie,Revival,Play,Drama,,"Mar 09, 2017","May 21, 2017",85,8,1018
901,"TheGoat,orWhoIsSylvia?2002",John Golden ,"The Goat, or Who Is Sylvia?",Original,Play,Drama,,"Mar 10, 2002","Dec 15, 2002",309,8,805
902,TheGoldenAge1984,Jack Lawrence ,The Golden Age,Original,Play,,,"Apr 12, 1984","May 06, 1984",29,6,865
903,TheGoodbyeGirl1993,Marquis ,The Goodbye Girl,Original,Musical,Comedy,,"Mar 04, 1993","Aug 15, 1993",188,29,1612
904,TheGospelatColonus1988,Lunt-Fontanne ,The Gospel at Colonus,Original,Musical,,,"Mar 24, 1988","May 15, 1988",61,16,1519
905,TheGovernmentInspector1994,Lyceum ,The Government Inspector,Revival,Play,Comedy,,"Jan 06, 1994","Feb 06, 1994",37,34,922
906,TheGraduate2002,Gerald Schoenfeld ,The Graduate,Original,Play,Comedy,,"Apr 04, 2002","Mar 02, 2003",380,13,1079
907,TheGrapesofWrath1990,Cort ,The Grapes of Wrath,Original,Play,Drama,,"Mar 22, 1990","Sep 02, 1990",188,34,1084
